Generation,TotalOrganisms,AverageFitness,FitnessVariance,SelectedGenes,NeutralGenes,NeutralDiversity,SelectedDiversity
102,1000,1.004956,0.000913,3000,7000,0.000000,0.000000
103,1000,1.004549,0.000894,3000,7000,0.000000,0.000000
104,1000,1.004318,0.000905,3000,7000,0.000000,0.000000
105,1000,1.004175,0.000900,3000,7000,0.000000,0.000000
106,1000,1.004621,0.000913,3000,7000,0.000000,0.000000
107,1000,1.003924,0.000854,3000,7000,0.000000,0.000000
108,1000,1.003710,0.000840,3000,7000,0.000000,0.000000
109,1000,1.003983,0.000873,3000,7000,0.000000,0.000000
110,1000,1.003716,0.000883,3000,7000,0.000000,0.000000
111,1000,1.004379,0.000906,3000,7000,0.000000,0.000000
112,1000,1.004424,0.000909,3000,7000,0.000000,0.000000
113,1000,1.004292,0.000886,3000,7000,0.000000,0.000000
114,1000,1.004979,0.000901,3000,7000,0.000000,0.000000
115,1000,1.005332,0.000896,3000,7000,0.000000,0.000000
116,1000,1.005996,0.000950,3000,7000,0.000000,0.000000
117,1000,1.006210,0.000990,3000,7000,0.000000,0.000000
118,1000,1.007082,0.001012,3000,7000,0.000000,0.000000
119,1000,1.007278,0.001080,3000,7000,0.000000,0.000000
120,1000,1.007966,0.001079,3000,7000,0.000000,0.000000
121,1000,1.008652,0.001038,3000,7000,0.000000,0.000000
122,1000,1.008338,0.001045,3000,7000,0.000000,0.000000
123,1000,1.008242,0.001010,3000,7000,0.000000,0.000000
124,1000,1.008332,0.001033,3000,7000,0.000000,0.000000
125,1000,1.007720,0.001088,3000,7000,0.000000,0.000000
126,1000,1.008279,0.001124,3000,7000,0.000000,0.000000
127,1000,1.008896,0.001131,3000,7000,0.000000,0.000000
128,1000,1.008876,0.001142,3000,7000,0.000000,0.000000
129,1000,1.008591,0.001130,3000,7000,0.000000,0.000000
130,1000,1.009775,0.001136,3000,7000,0.000000,0.000000
131,1000,1.010927,0.001225,3000,7000,0.000000,0.000000
132,1000,1.011554,0.001197,3000,7000,0.000000,0.000000
133,1000,1.011825,0.001177,3000,7000,0.000000,0.000000
134,1000,1.011897,0.001160,3000,7000,0.000000,0.000000
135,1000,1.010909,0.001252,3000,7000,0.000000,0.000000
136,1000,1.011764,0.001302,3000,7000,0.000000,0.000000
137,1000,1.012066,0.001291,3000,7000,0.000000,0.000000
138,1000,1.012375,0.001238,3000,7000,0.000000,0.000000
139,1000,1.013720,0.001310,3000,7000,0.000000,0.000000
140,1000,1.016710,0.001364,3000,7000,0.000000,0.000000
141,1000,1.017396,0.001346,3000,7000,0.000000,0.000000
142,1000,1.018225,0.001421,3000,7000,0.000000,0.000000
