Generation,TotalOrganisms,AverageFitness,FitnessVariance,SelectedGenes,NeutralGenes,NeutralDiversity,SelectedDiversity
102,1000,0.988064,0.000144,3000,7000,9.851980,7.621261
103,1000,0.987713,0.000152,3000,7000,9.844393,7.744130
104,1000,0.987340,0.000154,3000,7000,9.830755,7.824812
105,1000,0.987006,0.000161,3000,7000,9.877613,7.914784
106,1000,0.987470,0.000163,3000,7000,9.833237,7.979019
107,1000,0.987523,0.000169,3000,7000,9.871651,8.006954
108,1000,0.986858,0.000165,3000,7000,9.893027,8.179253
109,1000,0.987434,0.000164,3000,7000,9.923337,8.047771
110,1000,0.987258,0.000169,3000,7000,9.960409,8.194703
111,1000,0.987377,0.000167,3000,7000,10.028402,8.300311
112,1000,0.986745,0.000177,3000,7000,10.031335,8.412967
113,1000,0.986700,0.000170,3000,7000,10.094692,8.384746
114,1000,0.986789,0.000171,3000,7000,10.211015,8.346869
115,1000,0.986943,0.000172,3000,7000,10.260972,8.656738
116,1000,0.986904,0.000175,3000,7000,10.396863,8.821296
117,1000,0.987216,0.000174,3000,7000,10.344341,8.857771
118,1000,0.986923,0.000185,3000,7000,10.384921,8.801579
119,1000,0.986752,0.000196,3000,7000,10.367544,8.913380
120,1000,0.986878,0.000195,3000,7000,10.264311,9.063804
121,1000,0.986932,0.000199,3000,7000,10.276874,9.219179
122,1000,0.986972,0.000196,3000,7000,10.296077,9.212076
123,1000,0.987350,0.000185,3000,7000,10.297235,9.143928
124,1000,0.987121,0.000193,3000,7000,10.298574,9.271939
125,1000,0.987207,0.000189,3000,7000,10.281095,9.322015
126,1000,0.987190,0.000181,3000,7000,10.359580,9.316903
127,1000,0.986907,0.000196,3000,7000,10.427516,9.353897
128,1000,0.986772,0.000200,3000,7000,10.436996,9.301254
129,1000,0.986799,0.000206,3000,7000,10.448277,9.418083
130,1000,0.986681,0.000215,3000,7000,10.430018,9.401463
131,1000,0.986287,0.000226,3000,7000,10.422700,9.533179
132,1000,0.985978,0.000238,3000,7000,10.466393,9.514744
133,1000,0.986155,0.000225,3000,7000,10.447548,9.543348
134,1000,0.986561,0.000211,3000,7000,10.516818,9.466559
135,1000,0.986591,0.000202,3000,7000,10.562046,9.369674
136,1000,0.986396,0.000197,3000,7000,10.574885,9.434544
137,1000,0.986700,0.000196,3000,7000,10.620147,9.290030
138,1000,0.986902,0.000189,3000,7000,10.670424,9.314555
139,1000,0.987724,0.000171,3000,7000,10.702184,9.201562
140,1000,0.987331,0.000172,3000,7000,10.825890,9.291079
141,1000,0.987261,0.000179,3000,7000,10.837740,9.270840
142,1000,0.986890,0.000177,3000,7000,10.893846,9.431174
143,1000,0.987295,0.000164,3000,7000,10.873128,9.324840
144,1000,0.987404,0.000172,3000,7000,10.909524,9.304637
145,1000,0.987501,0.000178,3000,7000,10.949950,9.288644
146,1000,0.987595,0.000174,3000,7000,10.986753,9.400140
147,1000,0.987660,0.000182,3000,7000,11.023951,9.416192
148,1000,0.987910,0.000187,3000,7000,11.090368,9.406401
149,1000,0.987791,0.000185,3000,7000,11.075225,9.330667
150,1000,0.987638,0.000183,3000,7000,11.189806,9.389366
151,1000,0.987279,0.000184,3000,7000,11.191017,9.538344
152,1000,0.987376,0.000185,3000,7000,11.159541,9.623652
153,1000,0.987287,0.000184,3000,7000,11.208414,9.602775
154,1000,0.986908,0.000188,3000,7000,11.265604,9.604591
155,1000,0.987337,0.000194,3000,7000,11.197083,9.615097
156,1000,0.987173,0.000213,3000,7000,11.259215,9.645912
157,1000,0.986814,0.000228,3000,7000,11.323805,9.687626
158,1000,0.986529,0.000229,3000,7000,11.364814,9.806892
159,1000,0.986006,0.000227,3000,7000,11.430002,9.817518
160,1000,0.986213,0.000218,3000,7000,11.460222,9.953386
161,1000,0.986391,0.000221,3000,7000,11.555350,10.025240
162,1000,0.986521,0.000210,3000,7000,11.539998,10.013946
163,1000,0.986800,0.000209,3000,7000,11.505006,10.087250
164,1000,0.986838,0.000205,3000,7000,11.540750,10.073730
165,1000,0.986697,0.000211,3000,7000,11.575951,10.000734
166,1000,0.987011,0.000219,3000,7000,11.563231,9.988943
167,1000,0.986569,0.000221,3000,7000,11.584133,10.092478
168,1000,0.986406,0.000225,3000,7000,11.608039,10.078858
169,1000,0.986545,0.000208,3000,7000,11.635659,10.053305
170,1000,0.986242,0.000212,3000,7000,11.629429,10.041095
171,1000,0.986353,0.000207,3000,7000,11.685116,10.054044
172,1000,0.986380,0.000221,3000,7000,11.704648,9.989105
173,1000,0.986229,0.000221,3000,7000,11.708723,10.044737
174,1000,0.986664,0.000220,3000,7000,11.766258,10.001920
175,1000,0.986306,0.000213,3000,7000,11.808686,10.020299
176,1000,0.985863,0.000225,3000,7000,11.797741,10.013921
177,1000,0.985803,0.000217,3000,7000,11.805137,10.039950
178,1000,0.985885,0.000220,3000,7000,11.836716,10.024899
179,1000,0.985381,0.000214,3000,7000,11.866233,9.970121
180,1000,0.985333,0.000216,3000,7000,11.900986,9.853612
181,1000,0.984616,0.000216,3000,7000,11.941317,9.852735
182,1000,0.984481,0.000217,3000,7000,11.903715,9.919197
183,1000,0.985137,0.000220,3000,7000,11.874781,9.843221
184,1000,0.984938,0.000242,3000,7000,11.831023,9.871492
185,1000,0.984712,0.000227,3000,7000,11.826580,9.976240
186,1000,0.984728,0.000225,3000,7000,11.788678,9.971573
187,1000,0.985170,0.000216,3000,7000,11.757891,9.981059
188,1000,0.985585,0.000212,3000,7000,11.699017,10.034431
189,1000,0.985989,0.000213,3000,7000,11.763639,10.044402
190,1000,0.985640,0.000217,3000,7000,11.700509,10.176883
191,1000,0.985444,0.000228,3000,7000,11.701331,10.295717
192,1000,0.985072,0.000230,3000,7000,11.755277,10.436656
193,1000,0.985584,0.000240,3000,7000,11.790569,10.322669
194,1000,0.985899,0.000247,3000,7000,11.855189,10.259912
195,1000,0.986006,0.000234,3000,7000,11.834714,10.293520
196,1000,0.985461,0.000245,3000,7000,11.887488,10.419757
197,1000,0.984528,0.000233,3000,7000,11.873601,10.509787
198,1000,0.984664,0.000239,3000,7000,11.902790,10.450780
199,1000,0.984747,0.000248,3000,7000,11.942639,10.586522
200,1000,0.985213,0.000240,3000,7000,11.960027,10.566328
201,1000,0.985167,0.000240,3000,7000,12.000698,10.399436
202,1000,0.985231,0.000249,3000,7000,12.040327,10.466004
203,1000,0.985714,0.000256,3000,7000,12.041092,10.474667
204,1000,0.986051,0.000268,3000,7000,12.087019,10.445131
205,1000,0.985994,0.000264,3000,7000,12.109094,10.509884
206,1000,0.986265,0.000269,3000,7000,12.140810,10.550965
207,1000,0.986206,0.000274,3000,7000,12.131738,10.575384
208,1000,0.986555,0.000272,3000,7000,12.167832,10.571466
209,1000,0.986541,0.000276,3000,7000,12.200058,10.555238
210,1000,0.986296,0.000270,3000,7000,12.233864,10.603425
211,1000,0.986964,0.000277,3000,7000,12.252712,10.643976
212,1000,0.986698,0.000272,3000,7000,12.271196,10.576853
213,1000,0.987145,0.000277,3000,7000,12.295412,10.512696
214,1000,0.987446,0.000249,3000,7000,12.270919,10.547335
215,1000,0.987964,0.000278,3000,7000,12.188070,10.526913
216,1000,0.988013,0.000279,3000,7000,12.148139,10.467167
217,1000,0.988056,0.000263,3000,7000,12.201685,10.461928
218,1000,0.987852,0.000258,3000,7000,12.206465,10.545028
219,1000,0.987656,0.000259,3000,7000,12.232750,10.639355
220,1000,0.987207,0.000247,3000,7000,12.234771,10.701086
221,1000,0.987676,0.000256,3000,7000,12.223539,10.656541
222,1000,0.987865,0.000269,3000,7000,12.260485,10.702222
223,1000,0.988116,0.000248,3000,7000,12.301507,10.780028
224,1000,0.987590,0.000236,3000,7000,12.288889,10.786270
225,1000,0.987622,0.000243,3000,7000,12.343121,10.689137
226,1000,0.987067,0.000243,3000,7000,12.333911,10.758595
227,1000,0.987179,0.000238,3000,7000,12.365165,10.766898
228,1000,0.987399,0.000244,3000,7000,12.377280,10.773759
229,1000,0.987273,0.000257,3000,7000,12.426634,10.756827
230,1000,0.987440,0.000240,3000,7000,12.430644,10.811864
231,1000,0.987032,0.000236,3000,7000,12.414265,10.890855
232,1000,0.987293,0.000226,3000,7000,12.386941,10.924309
233,1000,0.987717,0.000234,3000,7000,12.409577,10.995701
234,1000,0.987821,0.000241,3000,7000,12.476353,10.879065
235,1000,0.987982,0.000249,3000,7000,12.469744,10.919557
236,1000,0.987877,0.000239,3000,7000,12.503437,11.014371
237,1000,0.988325,0.000234,3000,7000,12.496953,10.958392
238,1000,0.988258,0.000242,3000,7000,12.547692,11.010420
239,1000,0.988447,0.000220,3000,7000,12.521288,10.991546
240,1000,0.987863,0.000224,3000,7000,12.582884,11.059581
241,1000,0.987602,0.000237,3000,7000,12.660000,11.066608
242,1000,0.987504,0.000221,3000,7000,12.733017,11.153949
243,1000,0.987820,0.000229,3000,7000,12.756573,11.259059
244,1000,0.987466,0.000218,3000,7000,12.802782,11.333777
245,1000,0.986958,0.000219,3000,7000,12.814822,11.406742
246,1000,0.986691,0.000224,3000,7000,12.772253,11.479133
247,1000,0.986983,0.000215,3000,7000,12.780652,11.604277
248,1000,0.987298,0.000217,3000,7000,12.733484,11.503599
249,1000,0.987545,0.000219,3000,7000,12.748545,11.484784
250,1000,0.987342,0.000220,3000,7000,12.747258,11.566760
251,1000,0.987430,0.000206,3000,7000,12.692058,11.478764
252,1000,0.987392,0.000212,3000,7000,12.686355,11.639496
253,1000,0.986850,0.000221,3000,7000,12.724541,11.671572
254,1000,0.986808,0.000211,3000,7000,12.722535,11.688166
255,1000,0.986762,0.000200,3000,7000,12.736561,11.755133
256,1000,0.987227,0.000201,3000,7000,12.759316,11.752643
257,1000,0.987099,0.000203,3000,7000,12.776540,11.795208
258,1000,0.987270,0.000207,3000,7000,12.808830,11.759254
259,1000,0.987052,0.000211,3000,7000,12.843619,11.773419
260,1000,0.986917,0.000223,3000,7000,12.818439,11.691854
261,1000,0.986831,0.000230,3000,7000,12.847985,11.715193
262,1000,0.986870,0.000250,3000,7000,12.877649,11.783304
263,1000,0.987189,0.000240,3000,7000,12.936317,11.720536
264,1000,0.986654,0.000248,3000,7000,12.957154,11.764702
265,1000,0.986861,0.000261,3000,7000,12.916151,11.794014
266,1000,0.986433,0.000252,3000,7000,12.979910,11.832322
267,1000,0.986783,0.000256,3000,7000,12.968048,11.849675
268,1000,0.987583,0.000243,3000,7000,13.004723,11.893448
269,1000,0.987714,0.000261,3000,7000,12.983225,11.790141
270,1000,0.987833,0.000265,3000,7000,12.999640,11.803398
271,1000,0.988562,0.000262,3000,7000,12.976969,11.880711
272,1000,0.988540,0.000260,3000,7000,12.942537,11.892277
273,1000,0.989183,0.000250,3000,7000,12.961767,11.884320
274,1000,0.989042,0.000248,3000,7000,12.946893,11.869418
275,1000,0.989027,0.000247,3000,7000,12.983145,11.828765
276,1000,0.988639,0.000261,3000,7000,12.999382,11.965827
277,1000,0.988424,0.000254,3000,7000,13.063891,12.021647
278,1000,0.987984,0.000257,3000,7000,13.097447,11.988421
279,1000,0.987811,0.000253,3000,7000,13.104576,12.021397
280,1000,0.988463,0.000260,3000,7000,13.087966,12.028576
281,1000,0.988618,0.000266,3000,7000,13.077752,12.103838
282,1000,0.988832,0.000268,3000,7000,13.124474,12.082718
283,1000,0.988356,0.000272,3000,7000,13.126807,12.042106
284,1000,0.987880,0.000268,3000,7000,13.152946,12.117532
285,1000,0.987958,0.000268,3000,7000,13.158626,12.149561
286,1000,0.988194,0.000272,3000,7000,13.161492,12.225402
287,1000,0.987856,0.000267,3000,7000,13.122568,12.252751
288,1000,0.987887,0.000263,3000,7000,13.123575,12.197766
289,1000,0.987927,0.000275,3000,7000,13.170935,12.196821
290,1000,0.987596,0.000284,3000,7000,13.186529,12.192886
291,1000,0.987693,0.000280,3000,7000,13.207428,12.134679
292,1000,0.987685,0.000273,3000,7000,13.232148,12.138118
293,1000,0.987720,0.000251,3000,7000,13.212698,12.110265
294,1000,0.987595,0.000253,3000,7000,13.183439,12.049090
295,1000,0.987769,0.000249,3000,7000,13.207148,11.999154
296,1000,0.988294,0.000256,3000,7000,13.180990,12.008564
297,1000,0.988055,0.000250,3000,7000,13.146470,12.002871
298,1000,0.987672,0.000257,3000,7000,13.158509,12.016030
299,1000,0.988259,0.000244,3000,7000,13.175145,12.018162
300,1000,0.988700,0.000245,3000,7000,13.208498,12.079060
301,1000,0.988768,0.000258,3000,7000,13.257325,12.054888
302,1000,0.988410,0.000272,3000,7000,13.260515,12.165728
303,1000,0.988279,0.000260,3000,7000,13.281473,12.196534
304,1000,0.988487,0.000274,3000,7000,13.268041,12.221678
305,1000,0.988127,0.000282,3000,7000,13.251909,12.156532
306,1000,0.988209,0.000278,3000,7000,13.261036,12.121099
307,1000,0.987202,0.000278,3000,7000,13.283876,12.046810
308,1000,0.986833,0.000263,3000,7000,13.321737,12.064891
309,1000,0.986905,0.000263,3000,7000,13.359656,12.058026
310,1000,0.986394,0.000284,3000,7000,13.373293,12.003370
311,1000,0.986105,0.000295,3000,7000,13.392911,12.071303
312,1000,0.985389,0.000320,3000,7000,13.418485,12.145452
313,1000,0.985773,0.000325,3000,7000,13.406534,12.211777
314,1000,0.986660,0.000324,3000,7000,13.374452,12.193715
315,1000,0.986722,0.000312,3000,7000,13.376502,12.234807
316,1000,0.986932,0.000281,3000,7000,13.395148,12.180393
317,1000,0.987075,0.000286,3000,7000,13.396368,12.210156
318,1000,0.987485,0.000282,3000,7000,13.465304,12.205993
319,1000,0.987548,0.000288,3000,7000,13.441024,12.265406
320,1000,0.987737,0.000302,3000,7000,13.418124,12.280171
321,1000,0.987641,0.000300,3000,7000,13.404179,12.303612
322,1000,0.987614,0.000305,3000,7000,13.410970,12.365073
323,1000,0.987132,0.000321,3000,7000,13.433261,12.341405
324,1000,0.986445,0.000336,3000,7000,13.427707,12.435198
325,1000,0.985979,0.000344,3000,7000,13.445589,12.544859
326,1000,0.987177,0.000365,3000,7000,13.440994,12.651563
327,1000,0.986694,0.000381,3000,7000,13.417977,12.724921
328,1000,0.986431,0.000398,3000,7000,13.416259,12.732577
329,1000,0.986441,0.000417,3000,7000,13.420033,12.798526
330,1000,0.986314,0.000425,3000,7000,13.449465,12.779048
331,1000,0.987338,0.000416,3000,7000,13.495716,12.808624
332,1000,0.987355,0.000400,3000,7000,13.525661,12.691310
333,1000,0.987379,0.000399,3000,7000,13.552660,12.715881
334,1000,0.987042,0.000391,3000,7000,13.577409,12.719850
335,1000,0.987348,0.000384,3000,7000,13.619709,12.725819
336,1000,0.987470,0.000370,3000,7000,13.610391,12.724037
337,1000,0.987943,0.000378,3000,7000,13.632015,12.785524
338,1000,0.987496,0.000394,3000,7000,13.585038,12.761519
339,1000,0.987661,0.000394,3000,7000,13.569341,12.737795
340,1000,0.988593,0.000392,3000,7000,13.604532,12.747483
341,1000,0.988330,0.000392,3000,7000,13.597076,12.832162
342,1000,0.988967,0.000372,3000,7000,13.590909,12.813699
343,1000,0.989187,0.000363,3000,7000,13.603385,12.800317
344,1000,0.989260,0.000363,3000,7000,13.622372,12.780850
345,1000,0.989160,0.000371,3000,7000,13.622484,12.743809
346,1000,0.989566,0.000398,3000,7000,13.581157,12.874692
347,1000,0.990055,0.000388,3000,7000,13.603928,12.864386
348,1000,0.990421,0.000383,3000,7000,13.618420,12.830167
349,1000,0.990102,0.000370,3000,7000,13.643183,12.805087
350,1000,0.989808,0.000401,3000,7000,13.632958,12.925858
351,1000,0.990001,0.000401,3000,7000,13.645759,13.004665
352,1000,0.990375,0.000378,3000,7000,13.665150,12.997272
353,1000,0.990238,0.000388,3000,7000,13.682448,13.005093
354,1000,0.990000,0.000380,3000,7000,13.689957,13.125285
355,1000,0.990272,0.000394,3000,7000,13.697968,13.217024
356,1000,0.990026,0.000390,3000,7000,13.700649,13.244544
357,1000,0.990129,0.000364,3000,7000,13.715978,13.237054
358,1000,0.990319,0.000367,3000,7000,13.691143,13.209927
359,1000,0.990500,0.000371,3000,7000,13.711715,13.261636
360,1000,0.990220,0.000382,3000,7000,13.701346,13.251392
361,1000,0.990198,0.000373,3000,7000,13.717058,13.189118
362,1000,0.990789,0.000366,3000,7000,13.731021,13.218490
363,1000,0.991000,0.000372,3000,7000,13.754167,13.311775
364,1000,0.991377,0.000346,3000,7000,13.747875,13.310299
365,1000,0.991080,0.000351,3000,7000,13.752021,13.280132
366,1000,0.991521,0.000350,3000,7000,13.749348,13.236603
367,1000,0.991128,0.000363,3000,7000,13.748883,13.261547
368,1000,0.991158,0.000373,3000,7000,13.709283,13.294564
369,1000,0.991663,0.000390,3000,7000,13.710977,13.330606
370,1000,0.991966,0.000362,3000,7000,13.715303,13.251262
371,1000,0.991495,0.000364,3000,7000,13.704283,13.328289
372,1000,0.991547,0.000371,3000,7000,13.688839,13.257911
373,1000,0.991736,0.000380,3000,7000,13.698713,13.293840
374,1000,0.991626,0.000380,3000,7000,13.717666,13.234118
375,1000,0.992017,0.000394,3000,7000,13.726909,13.250724
376,1000,0.992160,0.000386,3000,7000,13.714544,13.287382
377,1000,0.992481,0.000388,3000,7000,13.719204,13.317699
378,1000,0.992668,0.000393,3000,7000,13.718529,13.367569
379,1000,0.992791,0.000384,3000,7000,13.717121,13.399791
380,1000,0.993089,0.000377,3000,7000,13.735766,13.371327
381,1000,0.993333,0.000382,3000,7000,13.754409,13.374966
382,1000,0.993401,0.000375,3000,7000,13.780354,13.372377
383,1000,0.993915,0.000384,3000,7000,13.769488,13.411534
384,1000,0.994387,0.000373,3000,7000,13.752478,13.331796
385,1000,0.994544,0.000390,3000,7000,13.741856,13.383370
386,1000,0.994588,0.000375,3000,7000,13.750582,13.443884
387,1000,0.994270,0.000387,3000,7000,13.758059,13.451308
388,1000,0.993764,0.000397,3000,7000,13.762138,13.472759
389,1000,0.994206,0.000407,3000,7000,13.773302,13.474570
390,1000,0.994619,0.000415,3000,7000,13.759112,13.615852
391,1000,0.994584,0.000419,3000,7000,13.778706,13.570399
392,1000,0.994681,0.000421,3000,7000,13.782245,13.651213
393,1000,0.994313,0.000431,3000,7000,13.791702,13.595456
394,1000,0.994240,0.000423,3000,7000,13.814419,13.589368
395,1000,0.994871,0.000405,3000,7000,13.836246,13.638236
396,1000,0.995280,0.000403,3000,7000,13.872317,13.757894
397,1000,0.995218,0.000414,3000,7000,13.883224,13.766478
398,1000,0.995620,0.000419,3000,7000,13.909996,13.777224
399,1000,0.995669,0.000411,3000,7000,13.918479,13.788859
400,1000,0.995366,0.000406,3000,7000,13.924875,13.825830
401,1000,0.994866,0.000421,3000,7000,13.912645,13.851731
402,1000,0.995180,0.000413,3000,7000,13.924838,13.871026
403,1000,0.995373,0.000421,3000,7000,13.922883,13.933236
404,1000,0.995386,0.000407,3000,7000,13.930934,13.977790
405,1000,0.995787,0.000405,3000,7000,13.943979,14.081027
406,1000,0.996188,0.000431,3000,7000,13.953448,14.114218
407,1000,0.996192,0.000393,3000,7000,13.969136,14.166896
408,1000,0.995751,0.000399,3000,7000,13.983124,14.193315
409,1000,0.996442,0.000419,3000,7000,13.982628,14.164959
410,1000,0.996410,0.000426,3000,7000,13.985839,14.084313
411,1000,0.996451,0.000429,3000,7000,14.017618,14.137379
412,1000,0.996381,0.000430,3000,7000,14.024863,14.126020
413,1000,0.996820,0.000426,3000,7000,14.026954,14.218666
414,1000,0.997331,0.000448,3000,7000,14.006889,14.253864
415,1000,0.997871,0.000434,3000,7000,14.035508,14.311494
416,1000,0.998360,0.000448,3000,7000,14.027777,14.347463
417,1000,0.998793,0.000441,3000,7000,14.071403,14.348167
418,1000,0.999007,0.000480,3000,7000,14.097864,14.413770
419,1000,0.998611,0.000461,3000,7000,14.088302,14.390249
420,1000,0.998925,0.000484,3000,7000,14.122658,14.451756
421,1000,0.998314,0.000459,3000,7000,14.141264,14.342124
422,1000,0.997949,0.000433,3000,7000,14.128508,14.276541
423,1000,0.998758,0.000429,3000,7000,14.139707,14.293845
424,1000,0.998824,0.000441,3000,7000,14.135503,14.257033
425,1000,0.998987,0.000438,3000,7000,14.120738,14.332830
426,1000,0.998682,0.000453,3000,7000,14.112560,14.362339
427,1000,0.998940,0.000471,3000,7000,14.117553,14.339000
428,1000,0.998615,0.000461,3000,7000,14.127135,14.315128
429,1000,0.998748,0.000465,3000,7000,14.138927,14.328989
430,1000,0.998692,0.000478,3000,7000,14.121149,14.383231
431,1000,0.998571,0.000469,3000,7000,14.153459,14.382812
432,1000,0.998015,0.000446,3000,7000,14.141774,14.347912
433,1000,0.998356,0.000447,3000,7000,14.157365,14.330757
434,1000,0.997894,0.000449,3000,7000,14.167070,14.333336
435,1000,0.997536,0.000467,3000,7000,14.153805,14.383826
436,1000,0.997803,0.000460,3000,7000,14.171259,14.434395
437,1000,0.998034,0.000466,3000,7000,14.174545,14.480397
438,1000,0.999350,0.000478,3000,7000,14.227507,14.591939
439,1000,0.999975,0.000475,3000,7000,14.227223,14.636004
440,1000,0.999954,0.000447,3000,7000,14.199757,14.656951
441,1000,0.999802,0.000475,3000,7000,14.200400,14.685355
442,1000,1.000115,0.000488,3000,7000,14.200731,14.660104
443,1000,0.999909,0.000466,3000,7000,14.244319,14.637882
444,1000,0.999470,0.000474,3000,7000,14.251824,14.623873
445,1000,0.999821,0.000502,3000,7000,14.246696,14.668018
446,1000,0.999521,0.000490,3000,7000,14.240492,14.698243
447,1000,0.999332,0.000509,3000,7000,14.246705,14.788865
